Nom;Latitude;Longitude
MAISON RUELLE DES POUSSOTS;47,30770111;5,055599213
MANSART 2ÈME ETAGE APPT 5;47,30929565;5,061264515
MARCHE CITEAUX BORNES CHAPLIN;47,31447601;5,034891129
MARCHE DES GRESILLES;47,33204269;5,067240715
MARCHE FONTAINE D¿OUCHE;47,31887817;5,00377655
MARCHE HALLES CENTRALES;47,32345581;5,039172649
MEDECINE DU TRAVAIL;47,31967163;5,034536362
MEDIATHEQUE J F CHAMPOLLION;47,32945251;5,069615841
MINUT AUXONNE 111;47,31248856;5,051292419
MINUTERIE HOTEL LE COMPASSEUR;47,32257843;5,045420647
MJC + RPE MONTCHAPET;47,33327103;5,033022404
MULTI ACCUEIL PETITE ENFANCE DARIUS MILHAU;47,33327103;5,032995701
MULTI-ACCUEIL PETITE ENFANCE DELAUNAY;47,34905624;5,040251255
MULTI-ACCUEIL PETITE ENFANCE DES GRESILLES;47,32984924;5,071440697
MULTI-ACCUEIL PETITE ENFANCE FONTAINE D¿OUCHE;47,31986237;5,002496243
MULTI-ACCUEIL PETITE ENFANCE MONTCHAPET;47,32953644;5,038911343
MULTI-ACCUEIL PETITE ENFANCE TARNIER;47,30435944;5,01992321
MULTI-ACCUEIL PETITE ENFANCE VOLTAIRE;47,31494522;5,048655033
MUSEE ARCHEOLOGIQUE;47,32153702;5,033883572
MUSEE DES BEAUX ARTS;47,32194901;5,042048454
MUSEE HIST NATURELLE ARQUEBUSE;47,32203674;5,028853893
MUSEE HIST NATURELLE MARVILLE;47,32036591;5,025970936
MUSEE VIE BOURGUIGNONNE + CRECHE TIVOLI;47,31778717;5,036487103
NEF SAINT ETIENNE;47,32089996;5,043554783
PALAIS DES DUCS;47,32100677;5,041714191
PALAIS DES SPORTS;47,32934189;5,055903435
PARC HYACINTHE VINCENT;47,32621002;5,07017231
PARC TOISON D'OR;47,35319138;5,053640842
PATINOIRE;47,3217926;5,060667515
PATINOIRE LOCAUX ASSOCIATIFS;47,3224411;5,06075716
PISCINE DE LA FONTAINE D¿OUCHE;47,31778717;5,007125854
PISCINE EPIREY ¿ GYMNASES ¿ SALLE D ESCALADE;47,3362236;5,060433388
PISTE DE PREVENTION ROUTIERE;47,30672455;5,029257298
POLE CULTUREL;47,31801987;5,030262947
POMPE JARDIN JAPONAIS;47,34905624;5,040251255
RASED GS VOLTAIRE;47,31401825;5,050835133
REFECTOIRE ATELIERS MAYENCE;47,34716797;5,062953472
RELAIS ASSISTANCE MATERNELLE;47,30879974;5,058237076
RESERVES MBA;47,3484993;5,062642097
ROUSSIN BORNES VAUBAN;47,32051086;5,040661812
SALLE BOISSELOT;47,3249588;5,015525818
SALLE CELLIER DE CLAIRVAUX;47,32585526;5,041532993
SALLE DE REUNION;47,31872177;5,033784866
SALLE DE SPORT ANDRE SELLENET;47,30247498;5,0610075
SALLE DE SPORTS DES BOURROCHES;47,30887985;5,014934063
SALLE DES FETES CAMILLE CLAUDEL;47,32932663;5,067943096
SALLE DEVOSGE;47,3245163;5,034471035
SALLE MARCELLE PARDE;47,31967163;5,03231144
SERVICES ESPACES VERTS;47,30970383;5,008600235
SITE ALAIN MILLOT;47,31602859;5,030516148
SITE DALLAS;47,33778763;5,062036514
SITE VICTOR DUMAY;47,3190918;5,039086819
SOUS STATION CHAUFFAGE;47,31887817;5,00377655
SQUARE CARRELET DE LOISY;47,31997681;5,043989182
STADE BOURILLOT;47,28684235;5,09929657
STADE DE L EVEIL;47,30347824;5,038123608
STADE DES POUSSOTS;47,34466553;5,071633339
STADE DOUMER VESTIAIRES DOUCHES;47,32613373;5,066336632
STADE FONTAINE D OUCHE;47,31887054;5,005773067
STADE GASTON GERARD - TERRAIN ANNEXE;47,32613373;5,066336632
STADE MALADIERE - BORNE;47,33891296;5,050473213
STADE MASINGUE;47,33899307;5,0537076
STADE MASINGUE SALLE USOD;47,33913803;5,053882599
STADE TRIMOLET;47,32513809;5,061301231
STADE TRIMOLET VESTIAIRES;47,32727051;5,065033436
STATION DE DESINFECTION;47,338974;5,067982197
SURPRESSEUR - FORT DE LA MOTTE GIRON;47,31394958;5,001520157
SYNDICAT UNSA;47,30929565;5,061264515
THEATRE DES FEUILLANTS;47,32070541;5,033960819
TOILETTE PUBLIC;47,32204056;4,990217209
TOUR ST NICOLAS ROUSSEAU;47,32437515;5,04481411
VELODROME - LOCAL ESPACES VERTS;47,32730484;5,067914963
VESTIAIRES DU TERRAIN DE FOOT;47,34641647;5,058973789
VESTIAIRES STADE COMBE SERPENT;47,32204056;4,990217209
WC PUBLIC;47,32309723;5,044070721
WC PUBLIC - ARMOIRE EVENEMENT;47,30331039;5,048365116
WC PUBLIC 1ERE ARMEE FRANCAISE;47,32394791;5,033892632
WC PUBLIC COURS DE GAULE;47,31546402;5,044053078
WC PUBLIC DARCY;47,32337189;5,033022404
WC PUBLIC DELABORDE DS MANEGE B;47,33098984;5,052787304
WC PUBLIC PARC DU DRAPEAU;47,33726883;5,04143858
WC PUBLIC PREFECTURE;47,3260231;5,043180466
WC PUBLICS PARC DES GRESILLES;47,33021927;5,073118687
